congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,42301,14,0,PA,100,,,"FETTERMAN, John Karl",F000479,1969,,-0.18,0.119,-33.67027,0.93707,518,11,,-0.314,0.018
118,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949,,-0.361,-0.16,-17.00719,0.97452,659,5,,-0.362,-0.118
118,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955,,-0.353,-0.109,-15.91187,0.97563,645,3,,-0.379,-0.068
118,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965,,0.629,0.022,-57.54315,0.89562,522,17,,0.672,0.09
118,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955,,0.367,-0.272,-208.15349,0.71674,625,116,,0.316,-0.346
118,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961,,0.432,0.227,-88.61997,0.87417,659,38,,0.442,0.424
118,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954,,0.351,0.086,-128.00953,0.81506,626,57,,0.3,0.161
118,Senate,20351,54,0,TN,200,,,"BLACKBURN, Marsha",B001243,1952,,0.632,0.14,-58.08461,0.90974,614,23,,0.695,0.037
118,Senate,42100,54,0,TN,200,,,"HAGERTY, William Francis (Bill)",H000601,1959,,0.68,-0.088,-69.1056,0.88657,574,26,,0.662,0.0
118,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.47,-0.061,-105.06174,0.84947,644,47,,0.433,0.065
118,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970,,0.78,-0.176,-71.7268,0.88803,604,37,,0.71,-0.101
118,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971,,0.891,-0.454,-81.14174,0.87825,625,52,,0.88,-0.475
118,Senate,41902,67,0,UT,200,,,"ROMNEY, Willard Mitt (Mitt)",R000615,1947,,0.286,0.294,-108.57849,0.83165,589,53,,0.263,0.339
